distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-12-01,0.011000000000000001,5,1,FALSE,-4.805017089843727,5.467734397640986,86.6,97.4075,-0.005990716787534831,-0.3007707375192954
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-01-01,0.0022,5,1,FALSE,-8.770007324218728,3.8750386589634864,87.35,97.7255,-0.1765753875383204,-0.11047152125775636
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-02-01,0.006500000000000001,4,1,FALSE,-14.17501296997068,3.965299320270141,77.25,98.00875,-0.414888643538574,-0.40876144689147875
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-03-01,0.0032,5,1,FALSE,2.1350036621093977,6.878402195854085,86.95,97.302,-0.8356375219824688,-0.3204964895665056
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-04-01,0.0038,5,1,FALSE,7.654992675781273,4.340166312920756,79.75,97.259,0.38038437440563067,0.053475782551755266
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-05-01,0.0018,5,1,FALSE,10.724993896484397,7.669452079076374,82.45,97.7905,-0.3653081729222077,0.2586630405419515
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-06-01,0.00175,4,1,FALSE,19.556253051757835,6.553212249124667,80,97.273125,-0.8644918354771025,0.32450957745697484
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-07-01,0.0036,5,1,FALSE,21.654998779296896,4.364852016361859,72.55,97.5685,-0.4400699521704882,-0.16807927787997456
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-08-01,0.0018,5,1,FALSE,21.60999145507815,5.533647761327993,64.35,97.615,-0.8174005481777025,-0.11024733133326849
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-09-01,0.0028,5,1,FALSE,18.11499633789065,4.594323379804126,63.45,97.2675,-0.22679563484367105,-0.10403904768126276
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-10-01,0.007666666666666667,6,1,FALSE,13.829166666666689,5.661178718368265,75.45833333333333,97.50375,-0.3239999282393822,-0.013183582137817876
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-11-01,0.0016,5,1,FALSE,3.7649841308593976,6.32288653166979,77.2,96.806,-0.302388187631195,-0.2890189408354859
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2021-12-01,0.0018,5,1,FALSE,-7.130010986328102,6.4739700617181954,86.5,96.9225,-0.3773242569813321,-0.06601233387685032
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-01-01,0.001,5,1,FALSE,-13.085015869140602,4.688045597725012,81.95,97.249,-0.12991415300852524,0.09737960810081198
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-02-01,0.003,4,1,FALSE,-11.287516021728493,6.348863828806524,83.5625,97.5975,-0.3636493070348806,0.13439167529208706
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-03-01,0.01,4,1,FALSE,-0.08749999999997726,5.812425703771774,93.0625,96.625625,-0.4037387320667415,0.7729400010183624
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-04-01,0.008,4,1,FALSE,7.593751525878929,5.845845520263315,83.25,97.026875,-0.8834650288595145,-0.3065553188149039
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-05-01,0.0026,5,1,FALSE,14.629986572265647,4.5906569612352985,69.45,97.5275,0.1449596824951206,0.15328974668275938
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-06-01,0.0038,5,1,FALSE,18.85999145507815,5.961414678468265,62.55,97.3535,-0.6967544822632674,-0.4785670981536505
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-07-01,0.0015,4,1,FALSE,21.18750152587893,8.261875402370762,76.0625,97.25999999999999,-0.06179616932711568,-0.10792367776632025
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-08-01,0.00175,4,1,FALSE,21.074998474121116,4.351762850627173,75.1875,97.305625,0.1345964946108704,-0.36044271802890704
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-09-01,0.0022500000000000003,4,1,FALSE,20.89374694824221,6.433962401236396,63,97.170625,-0.24539266233258678,-0.4790184288918299
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-10-01,0.0022500000000000003,4,1,FALSE,6.94373474121096,5.036821620744533,59.5625,97.47125,-0.5005152660342378,-0.030932651883376107
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-11-01,0.0048000000000000004,5,1,FALSE,-0.21001586914060227,2.950754343841191,66.25,97.8035,-0.07979812516289045,-0.0067324379813728935
