airport_row_id,monitor_row_id,distance_m,distance_km,distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,monitor_id,county_fips,state_name,county_name,monitor_lat,monitor_lon,same_county,is_reid_hillview
9733,33,985.2819654579906,0.9852819654579906,0-4 km,21047,KSEE,KSEE,SEE,Gillespie Field,small_airport,06073,San Diego,060731018,06073,California,San Diego,32.817978,-116.968133,TRUE,FALSE
9753,108,2318.233690713937,2.318233690713937,0-4 km,21063,KSGS,KSGS,SGS,South St Paul Municipal Airport/Richard E Fleming Field,small_airport,27037,Dakota,271630438,27163,Minnesota,Washington,44.85711,-93.00352,FALSE,FALSE
9765,39,3390.8204279080574,3.390820427908057,0-4 km,3883,KSJC,KSJC,SJC,Norman Y. Mineta San Jose International Airport,large_airport,06085,Santa Clara,060850005,06085,California,Santa Clara,37.348497,-121.894898,TRUE,FALSE
9812,38,683.7537623450121,0.6837537623450121,0-4 km,21105,KSQL,KSQL,SQL,San Carlos Airport,medium_airport,06081,San Mateo,060812004,06081,California,San Mateo,37.508162,-122.246305,TRUE,FALSE
9828,102,896.4067681086547,0.8964067681086546,0-4 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230818,27123,Minnesota,Ramsey,44.926753,-93.059292,TRUE,FALSE
9828,103,3334.995060496912,3.334995060496912,0-4 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230871,27123,Minnesota,Ramsey,44.95939,-93.03587,TRUE,FALSE
9828,258,1021.0523285468626,1.0210523285468625,0-4 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230875,27123,Minnesota,Ramsey,44.9271,-93.0671,TRUE,FALSE
9828,270,3566.4187264980997,3.5664187264980995,0-4 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230890,27123,Minnesota,Ramsey,44.9667,-93.0642,TRUE,FALSE
10646,110,3961.7825787521615,3.9617825787521617,0-4 km,22390,MS90,MS90,MS90,Flowood Industrial Airport,small_airport,28121,Rankin,280490020,28049,Mississippi,Hinds,32.329111,-90.182722,FALSE,FALSE
11791,57,2651.8520189699907,2.651852018969991,0-4 km,5447,PHJR,PHJR,JRF,Kalaeloa Airport,medium_airport,15003,Honolulu,150030010,15003,Hawaii,Honolulu,21.323745,-158.088613,TRUE,FALSE
11822,178,3634.26452013123,3.6342645201312296,0-4 km,24145,PN37,PN37,PN37,Fino Airport,small_airport,42007,Beaver,420070727,42007,Pennsylvania,Beaver,40.6119,-80.500451,TRUE,FALSE
12693,193,2508.7959431461845,2.5087959431461844,0-4 km,325427,US-0710,19PN,19PN,Walnut Grove Airport,small_airport,42071,Lancaster,420710009,42071,Pennsylvania,Lancaster,40.108944,-76.472235,TRUE,FALSE
15747,224,3881.6583399747738,3.881658339974774,0-4 km,25575,W24,W24,W24,Falwell Airport,small_airport,51680,Lynchburg,510090007,51009,Virginia,Amherst,37.41222,-79.116233,FALSE,FALSE
